LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID70657,70657,37,11.781425476074219,786.6002598262988,604.9094404366386,0.0,0.0,0,5.0,1,,103.75257731958763,94.0,62.0,175.0,10064.0,31.388038767390842,0.34276117274144313,1.6875535175222571,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID71463,71463,37,10.232025146484375,784.3631630505621,610.0089888801494,0.0,1.0,1,5.0,1,,97.18556701030928,93.0,60.0,162.0,9427.0,25.165837416073273,0.31784601180431854,1.8628268189920765,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID71009,71009,37,9.67388916015625,780.3890689053028,614.06836727609,0.0,2.0,2,5.0,1,,97.56701030927834,92.0,61.0,162.0,9464.0,23.604778478314707,0.30047425343986917,1.9100228823208683,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID71217,71217,37,9.445915222167969,778.0205387299112,617.9306130175637,0.0,3.0,3,5.0,1,,96.10309278350516,88.0,54.0,160.0,9322.0,25.881333579146407,0.2893406149911182,1.6665657276844383,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID71347,71347,37,9.138023376464844,776.9626264759736,622.167376216226,0.0,4.0,4,5.0,1,,96.42268041237114,92.0,52.0,153.0,9353.0,23.926029693771106,0.2745931221608555,1.736427450457665,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID70778,70778,37,8.391670227050781,775.2207745064733,627.8147869999228,0.0,5.0,5,5.0,1,,90.11340206185567,85.0,49.0,139.0,8741.0,21.85600427068984,0.26354545356476333,1.7199399092617258,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
ID71121,71121,37,8.699089050292969,773.6110457725208,633.5744243908478,0.0,6.0,6,5.0,1,,85.44329896907216,81.0,45.0,142.0,8288.0,23.53674833822144,0.3014453870336739,1.6816833872624766,0.0,0.0,5.0,5.0,0.0,1.0,78.53981633974483,31.41592653589793,1.0,1.0,3.5449077018110318
